no,id,content,main post,poster post,label
1,vanillahijab,"Batas transfer BESOK PAGI yaaaJangan lupa WAJIB konfirmasi setelah transfer via websiteSekarang, bagi yg cancel akun akan di nonaktif kan sementara :) Mohon maaf tapi terlalu banyak oknum yang iseng cancel dg tujuan ngabisin stok dan tidak transfer :)",yes,yes,x
2,union127,Kak yana instan gajadi?,no,no,x
3,iaznurmalita,Gmn mau cancel login aja gak bisa @nursafittrii 😭,no,no,x
4,emaryanti,"Mba gmna cii aq udh totalan,,tinggal bayar kok lgsung abis",no,no,x
5,angelinezararojali,Owhh skrg modusnya gitu 🤔🤔@vanillahijab,no,no,x
6,jessicasw29,Yana instannya mana?? Tas barunya???? 😭😭,no,no,x
7,royan.sukri,"Mw konfirm pembayaran g bisa""..",no,no,x
8,sarah.ratnaannida,Loading trus pas check out dibilang krnjang blnja kosong😮@vanillahijab,no,no,x
9,white.lylac99,Alhamdulillah bisaaa ♥,no,no,x
10,indahnyoo,Done 😊,no,no,x
11,queena.sa,Yah keabisan,no,no,x
12,riskakalila,Alhamdulillah dapet..done sister 😍😍😍,no,no,x
13,ayudsv,"Iya betul mbak 😩jangan kasih maklum orang-orang yg suka cancel order, kasian yg beneran pingin jadi gak kebagian 😢semangat order ukhti2 😚😚",no,no,x
14,amythamy,Ini kalo dapet no transaksi tapi gak ada email dr vanila gmn ya ? 😩,no,no,x
15,windyfsandra,Bener banget loading abis gt di keranjang belanja abis sll gt yaa @vanillahijab,no,no,x
16,nursafittrii,"Ckckckck aku gamau ahh, aku mh kapokk @iaznurmalita 😅😅",no,no,x
17,dilangusmandini,@vanillahijab yana instannya mana? 😥😥,no,no,x
18,lincah.indah,"loading pas checkout ""sabar ya sis"" 15menit muter2 gitu terus 😲😲",no,no,x
19,nikenekadini,@lincah.indah samaaa aku jg kaya gitu. Pas udh beres loading gataunya sold out 😢😢😢😢,no,no,x
20,larastiastevani,"Cek out ga bisa, jadi ga dapet, padahal tadi dah masuk keranjang 😅😅",no,no,x
21,atharmel_19,"huaaa ga kebagian, mau checkout loading terus, tau2 keranjang belanja kosong :(",no,no,x
22,hematnmurmer,"Swing blouse misty S dan M,  tiramisu S,  siap booking silakan dm",no,no,x
23,atien_kechenk,Udah totalan.. eh.. keranjang belanja kosong.. 😭😭,no,no,x
24,sutari_ningsih,Ngak kebagiaan sold out semua . padahal udah masuk ke keranjang,no,no,x
25,nikenwindasari,Yg punya melody blouse olive size S mau dong 😊,no,no,x
26,kittenlova_,Ga bs lanjutkan dr tadi ya allah huhu,no,no,x
27,cookies_attire,Alhamdulillah,no,no,x
28,ranyfresetya,"Available segi4 jasmine semua warna,  yg minat DM aja yaaaa..",no,no,x
